date,1. open,2. high,3. low,4. close,5. volume
2021-10-18 20:00:00,146.7001,146.79,146.7,146.79,5165.0
2021-10-18 19:59:00,146.78,146.8,146.75,146.75,2692.0
2021-10-18 19:58:00,146.79,146.79,146.79,146.79,565.0
2021-10-18 19:57:00,146.79,146.79,146.79,146.79,825.0
2021-10-18 19:56:00,146.79,146.79,146.78,146.78,1382.0
2021-10-18 19:55:00,146.77,146.77,146.77,146.77,518.0
2021-10-18 19:53:00,146.79,146.79,146.78,146.78,1036.0
2021-10-18 19:52:00,146.75,146.7899,146.75,146.7899,1587.0
2021-10-18 19:51:00,146.75,146.75,146.75,146.75,338.0
2021-10-18 19:49:00,146.78,146.78,146.75,146.75,948.0
2021-10-18 19:48:00,146.78,146.78,146.78,146.78,1339.0
2021-10-18 19:47:00,146.8,146.8,146.77,146.78,1928.0
2021-10-18 19:46:00,146.77,146.8,146.77,146.8,5040.0
2021-10-18 19:45:00,146.76,146.76,146.76,146.76,826.0
2021-10-18 19:44:00,146.75,146.75,146.75,146.75,498.0
2021-10-18 19:43:00,146.72,146.72,146.72,146.72,341.0
2021-10-18 19:42:00,146.74,146.74,146.74,146.74,266.0
2021-10-18 19:41:00,146.72,146.78,146.72,146.73,2730.0
2021-10-18 19:40:00,146.75,146.75,146.75,146.75,3640.0
2021-10-18 19:38:00,146.72,146.74,146.72,146.74,945.0
2021-10-18 19:37:00,146.74,146.74,146.74,146.74,414.0
2021-10-18 19:36:00,146.73,146.73,146.73,146.73,354.0
2021-10-18 19:35:00,146.72,146.73,146.72,146.73,724.0
2021-10-18 19:34:00,146.73,146.73,146.72,146.73,582.0
2021-10-18 19:33:00,146.7,146.73,146.7,146.73,5490.0
2021-10-18 19:31:00,146.66,146.69,146.66,146.69,656.0
2021-10-18 19:28:00,146.65,146.65,146.65,146.65,773.0
2021-10-18 19:26:00,146.66,146.66,146.66,146.66,216.0
2021-10-18 19:25:00,146.69,146.69,146.66,146.66,506.0
2021-10-18 19:24:00,146.67,146.69,146.67,146.69,2089.0
2021-10-18 19:23:00,146.68,146.68,146.67,146.67,3789.0
2021-10-18 19:22:00,146.65,146.65,146.65,146.65,263.0
2021-10-18 19:21:00,146.64,146.64,146.63,146.64,969.0
2021-10-18 19:19:00,146.63,146.63,146.63,146.63,136.0
2021-10-18 19:18:00,146.63,146.63,146.63,146.63,214.0
2021-10-18 19:17:00,146.64,146.64,146.64,146.64,1153.0
2021-10-18 19:16:00,146.64,146.64,146.64,146.64,967.0
2021-10-18 19:15:00,146.64,146.64,146.64,146.64,273.0
2021-10-18 19:14:00,146.64,146.64,146.64,146.64,600.0
2021-10-18 19:12:00,146.64,146.64,146.64,146.64,759.0
2021-10-18 19:11:00,146.66,146.66,146.66,146.66,630.0
2021-10-18 19:10:00,146.64,146.6401,146.64,146.64,1511.0
2021-10-18 19:09:00,146.6699,146.6699,146.6699,146.6699,250.0
2021-10-18 19:08:00,146.64,146.64,146.64,146.64,1391.0
2021-10-18 19:07:00,146.6401,146.68,146.6401,146.68,900.0
2021-10-18 19:05:00,146.66,146.66,146.66,146.66,270.0
2021-10-18 19:04:00,146.64,146.64,146.64,146.64,151.0
2021-10-18 19:03:00,146.67,146.67,146.67,146.67,100.0
2021-10-18 19:02:00,146.63,146.63,146.63,146.63,138.0
2021-10-18 19:00:00,146.67,146.67,146.63,146.63,354.0
2021-10-18 18:59:00,146.66,146.67,146.66,146.67,555.0
2021-10-18 18:58:00,146.64,146.64,146.63,146.63,601.0
2021-10-18 18:57:00,146.63,146.64,146.63,146.64,439.0
2021-10-18 18:56:00,146.62,146.62,146.62,146.62,155.0
2021-10-18 18:55:00,146.63,146.63,146.63,146.63,346.0
2021-10-18 18:54:00,146.66,146.66,146.62,146.63,823.0
2021-10-18 18:53:00,146.67,146.67,146.66,146.67,1271.0
2021-10-18 18:52:00,146.65,146.67,146.65,146.67,2723.0
2021-10-18 18:51:00,146.65,146.67,146.65,146.65,1849.0
2021-10-18 18:50:00,146.62,146.62,146.62,146.62,595.0
2021-10-18 18:49:00,146.66,146.66,146.66,146.66,137.0
2021-10-18 18:48:00,146.61,146.63,146.61,146.62,751.0
2021-10-18 18:47:00,146.65,146.65,146.6101,146.6101,2174.0
2021-10-18 18:46:00,146.65,146.6699,146.65,146.65,662.0
2021-10-18 18:45:00,146.67,146.67,146.67,146.67,680.0
2021-10-18 18:44:00,146.65,146.65,146.65,146.65,726.0
2021-10-18 18:43:00,146.65,146.6899,146.55,146.65,9477.0
2021-10-18 18:42:00,146.73,146.73,146.55,146.7,219925.0
2021-10-18 18:41:00,146.75,146.75,146.75,146.75,525.0
2021-10-18 18:40:00,146.72,146.72,146.72,146.72,436.0
2021-10-18 18:38:00,146.72,146.72,146.7,146.7,1105.0
2021-10-18 18:36:00,146.7501,146.77,146.72,146.75,783.0
2021-10-18 18:35:00,146.76,146.76,146.75,146.75,2408.0
2021-10-18 18:34:00,146.77,146.77,146.77,146.77,280.0
2021-10-18 18:32:00,146.78,146.78,146.76,146.76,812.0
2021-10-18 18:31:00,146.76,146.76,146.76,146.76,119.0
2021-10-18 18:30:00,146.78,146.78,146.77,146.77,972.0
2021-10-18 18:29:00,146.79,146.79,146.78,146.78,5460.0
2021-10-18 18:28:00,146.79,146.79,146.79,146.79,816.0
2021-10-18 18:27:00,146.82,146.82,146.8,146.8,445.0
2021-10-18 18:26:00,146.77,146.77,146.77,146.77,625.0
2021-10-18 18:24:00,146.77,146.77,146.77,146.77,683.0
2021-10-18 18:21:00,146.81,146.81,146.78,146.78,1440.0
2021-10-18 18:20:00,146.8,146.8,146.79,146.79,4561.0
2021-10-18 18:19:00,146.8,146.8,146.8,146.8,531.0
2021-10-18 18:18:00,146.8,146.8,146.8,146.8,461.0
2021-10-18 18:17:00,146.83,146.83,146.8,146.8,204.0
2021-10-18 18:13:00,146.83,146.83,146.82,146.82,797.0
2021-10-18 18:12:00,146.83,146.83,146.83,146.83,277.0
2021-10-18 18:11:00,146.83,146.84,146.82,146.84,2298.0
2021-10-18 18:10:00,146.82,146.83,146.82,146.83,749.0
2021-10-18 18:09:00,146.82,146.82,146.82,146.82,216.0
2021-10-18 18:08:00,146.82,146.83,146.82,146.83,1426.0
2021-10-18 18:07:00,146.82,146.83,146.82,146.82,765.0
2021-10-18 18:06:00,146.82,146.82,146.78,146.78,358.0
2021-10-18 18:05:00,146.81,146.81,146.8,146.8,1906.0
2021-10-18 18:03:00,146.85,146.85,146.82,146.84,1512.0
2021-10-18 18:02:00,146.81,146.85,146.81,146.83,5400.0
2021-10-18 18:01:00,146.84,146.85,146.84,146.85,5057.0
2021-10-18 18:00:00,146.84,146.84,146.84,146.84,483.0
2021-10-18 17:59:00,146.84,146.84,146.84,146.84,5556.0
2021-10-18 17:58:00,146.78,146.84,146.78,146.84,1123.0
2021-10-18 17:57:00,146.82,146.82,146.82,146.82,5416.0
